OBJECTID,SITENAME,COMMSITEID,COMMTYPE,COMMSUBTYP,ACREAGE,LASTVISIT,DATA_METHD,DATA_SOURC,DATA_EQUIP,DATA_EDTR,DATA_DATE,ASSOCDATA,SPECIESDAT,COMMENTS,ELCODE,EONMBR,IS_QAQC,GPS_PDOP,GPS_HDOP,GPS_HRZPR,Group_legend,Centroid_X,Centroid_Y,COMLABEL,SHAPE_Length,SHAPE_Area
312,Chauncy Peak,1,Dry Subacidic Forest,Ash/Hickory Glade,0.35557535,,GPS Field Data,Not Applicable,GPS Trimble GeoExplorer3,CT DEP NHS,, , , ,CT2G4A1000,0,True,6,2.7,1.447,Terrestrial Forested,997589.71811552,763924.90290352,DSF,662.580570399575,-15488.862629538
313,Chauncy Peak,3,Subacidic Rocky Summit Outcrop,Grassy Glade/Bald,0.03313387,,GPS Field Data,Not Applicable,GPS Trimble GeoExplorer3,CT DEP NHS,, , ,on quarry edge,CT1A4A0000,0,True,3.2,1.7,1.196,Terrestrial Non-forested,997493.50111636,764075.37602776,SubRSO,145.409856996946,-1443.31168460217
314,Farmington River,0,Floodplain Forest,High Floodplain,23.27910646,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/06/06 00:00:00+00, ,"Quercus rubra; Berberis thunbergii, Celastrus orbiculatus, Cardamine impatiens, Eounymus alatus","weedy high floodplain forest; Moorhead 1999, 2002",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,987933.94510427,877936.08039252,FF,9274.45324647999,-1014037.87741524
315,Farmington River,0,Floodplain Forest,Alluvial Swamp,14.93095973,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/06/06 00:00:00+00, , ,complex of shrub and forested swamp,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,987071.01507161,878809.72004944,FF,9461.85503010453,-650392.606217937
316,Walton Pond - Winding Trails,4,Sand Barren,Sparsely Vegetated Sand,0.56422974,,Aerial Photo Interpretation,CT 1990 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Farmington Valley Biodiversity Project, 2002", , ,CT1L100000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,973049.60643468,836706.18516218,SB,1206.35708129191,-24577.8477465546
317,Bradley International Airport,10,Sand Barren,Sparsely Vegetated Sand,0.60603593,,Aerial Photo Interpretation,CT 1990 Black and White Ortho Photo,Not Applicable,CT DEP NHS,,"Farmington Valley Biodiversity Project, 2002","mostly native herbaceous assemblage, v. good habitat for rare inverts, present not dominant - Echium vulgare","sparsely vegetated open sand of evident former excavation, forested in 1985",CT1L100000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,1016166.06449294,904262.24919676,SB,630.185582329637,-26398.9252772811
318,West Branch Farmington River,0,Floodplain Forest,Undifferentiated,0.72387785,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"?LIDAR elevation says most of this poly 2-4 ft above LIDAR water elevation; looks from aerials like Acer platanoides in part",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,933764.98716944,896054.81876127,FF,1117.95505727772,-31532.1192472212
319,West Branch Farmington River,0,Floodplain Forest,Undifferentiated,0.47750254,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"?or may be low floodplain; used LIDAR 2000 elevation 2-4' above adj river elevation",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,938300.98531527,880644.34826993,FF,1001.06771304065,-20800.0107369606
320,Farmington River,0,Floodplain Forest,Low Floodplain,7.63292213,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,Moorhead 2002,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,978011.51219327,825742.44790335,FF,4691.92075750737,-332490.088229095
321,Farmington River,0,Floodplain Forest,High Floodplain,15.19071886,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"May not have flooded since 1955 & flood control; LIDAR 2000 says 4-10' above adj river elevation",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,947791.90957485,867777.47439743,FF,5884.05897712627,-661707.713944612
322,Farmington River,0,Floodplain Forest,High Floodplain,2.13244798,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Sugar maple - Bitternut hickory (Acer saccharum- Carya cordiformis) temporarily flooded forests; Dicentra cucullaria","rich mesic high floodplain; Moorhead observed this flooded Apr 2007",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,950095.12117578,866008.8073311,FF,2163.9988856793,-92889.4341769648
323,Farmington River,0,Floodplain Forest,Alluvial Swamp,7.47629849,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"Moorhead 2008, observed south end; may be complexed with low floodplain",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,977065.94617103,848942.06160901,FF,2994.32658534462,-325667.562418202
324,Old Farms Road Site,0,Floodplain Forest,High Floodplain,5.80471082,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Acer saccharum-Fraxinus americana/Carex sprengelii: ; Carex davisii, Hydrophyllum virginianum","mapped as EO and called ""nice"" by Moorhead in 2002, 2007; invasives (Berberis th, Euonymus) still not dominant in 2007, though present",CT2B1A0000, ,True, , , ,Palustrine Forested,978885.24076077,846215.85971234,FF,2436.40787449832,-252853.203460464
325,Farmington River,0,Floodplain Forest,High Floodplain,1.84979792,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"based on LIDAR 2000 el using 156' -158' as Low/High transition, 166' as upper lim of high",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,980411.19144903,844679.51107901,FF,2828.58288151995,-80577.1978204224
326,Farmington River,0,Floodplain Forest,High Floodplain,0.11799151,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,Elymus wiegandii,"based on LIDAR 2000 el using 156' -158' as Low/High transition, 166' as upper lim of high; Moorhead 2002",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,980104.9502636,845311.41467085,FF,459.902654838289,-5139.71038928353
327,East Side of Farmington River,0,Floodplain Forest,High Floodplain,7.20375782,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Acer saccharum-Fraxinus americana/Carex sprengelii; Silene stellata","Moorhead 2002, based on LIDAR 2000 el using 156' -158' as Low/High transition, 166' as upper lim of high",CT2B1A0000, ,True, , , ,Palustrine Forested,978008.86718544,849540.01120051,FF,6373.82939733233,-313795.691001765
328,Five Mile River,0,Coastal Bluffs and Headlands,Cedar Bluff,0.32215392,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,"private - data from Rosza; verified w/ maps.live", ,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,807002.05893728,583548.30729261,CBH,461.937249491139,-14033.0250570961
329,Quinnipiac River,1,Intertidal Marsh,Brackish Marsh,48.41098703,,Aerial Photo Interpretation,CT 2005 Coastal Infrared Ortho Photo,Not Applicable,CT DEP NHS,, , ,used also 2004 BW Digital Ortho Photo for delineation,CE1B2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Estuarine,963576.75267702,675641.5148381,IM,15668.0061567848,-2108782.59515186
330,East River,1,Intertidal Marsh,Freshwater Marsh,2.01728522,,Aerial Photo Interpretation,CT 2005 Coastal Infrared Ortho Photo,Not Applicable,CT DEP NHS,, , ,used also 2004 BW Digital Ortho Photo for delineation,CE1B3A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Estuarine,1022886.74954236,672801.72589826,IM,1366.27443100572,-87872.9443477155
331,East River,2,Intertidal Marsh,Freshwater Marsh,3.40693176,,Aerial Photo Interpretation,CT 2005 Coastal Infrared Ortho Photo,Not Applicable,CT DEP NHS,, , ,used also 2004 BW Ortho Photo for delineation,CE1B3A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Estuarine,1022433.06606652,672971.07890601,IM,1931.26923168761,-148405.947781662
332,Gridley Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,1.27177014,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,804831.53243844,939405.33835926,AcRSO,1758.53340877796,-55398.3074637661
333,Gridley Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.54201962,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,possibly some scrub oak,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,804970.87697602,939176.54288511,AcRSO,669.072660385476,-23610.3749467268
334,Griswold Cedar Swamp,3,Acidic Atlantic White Cedar Swamp,Cedar Swamp,5.9840751,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,Chamaecyparis thyoides,"lots of garbage dumped along road adjacent to swamp including toilet, sink and vanity",CP2B2A3000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,1219991.74903236,791643.40324068,AAWCS,2290.77756927672,-260666.311575965
335,Onion Mountain,1,Subacidic Rocky Summit Outcrop,Grassy Glade/Bald,0.00385377,,AerialPhoto Interpretation using GPS Field Data,CT 2004 Black and White Ortho Photo,GPS Trimble GeoExplorer3,CT DEP NHS,,"Farmington Valley Biodiversity Project, 2002", , ,CT1A4A0000,0,True,3.3,1.7,1.105,Terrestrial Non-forested,964838.32266044,874638.83305002,SubRSO,49.853246966711,-167.870443690307
336,Bingham Pond,0,Acidic Red/Black Spruce Basin Swamp,,12.08257323,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,red spruce swamp,CP2B2A4000,2,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,805479.98717828,932355.06505827,AcR/BSS,4767.47843342682,-526316.890219671
337,Dennison Brook,0,Poor Fen,Shrub Thicket,0.5238579,2008/10/20 00:00:00+00,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2008/10/20 00:00:00+00, ,"Rhododendrom viscosum,Vaccimium corymbosum,Clethra alnifolia, Sphagnum spp.; near earthen dam: Carex spp./Sphagnum mat,Tawny cottongrass,Eriophorum virginicum,Vaccinium macrocarpon","formed by earthen dam w/ outlet stream, most of fen to the N",CP2C2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1249025.36452144,762959.10234168,PF,960.935855319826,-22819.2504894698
338,Congamond Bogs,13,Poor Fen,Shrub Thicket,1.23802005,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,33,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,997328.1697541,929571.11032435,PF,2593.70367963171,-53928.1534828223
339,Southington Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.05823393,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , ,"scrub-scrubby deciduous woodland complex; pretty sure of scrub oak from aerial imagery",CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,949797.7352876,783029.32630877,AcRSO,285.628661132268,-2536.67024740301
340,Southington Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.07384153,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , , ,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,949793.15524427,782984.88414043,AcRSO,243.77778325705,-3216.53711488885
341,Southington Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.32552057,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , , ,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,949897.18456377,782771.0643581,AcRSO,580.021548719855,-14179.6764605723
342,Southington Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,1.05957121,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , ,"deciduous scrub-bald complex; pretty sure of scrub oak from aerial imagery",CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,949905.39386494,782907.41415101,AcRSO,1437.09032578827,-46154.9221954275
343,Southington Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.10581481,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , , ,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,950055.00937935,782756.25828535,AcRSO,282.042160113812,-4609.29352774956
344,Farmington River,0,Floodplain Forest,High Floodplain,11.43481522,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/06/06 00:00:00+00, ,"Tilia, Carex sprengelii","nice levee and river bank forest, though essentially linear",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,980556.73479311,858971.72068351,FF,15512.7575141824,-498100.551325068
345,Thorpe Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.36417229,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,"? deciduous woodland, not sure if scrub oak present",CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,799202.58667536,921696.24746519,AcRSO,497.969372193584,-15863.3452043666
346,Thorpe Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,2.15531669,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,? bald with grass or scrub oak and some pine,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,798714.57584035,921806.86633843,AcRSO,1642.86251960798,-93885.595195667
347,Thorpe Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,1.52268557,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,scrub oak deciduous woodland-bald complex,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,798667.39253577,922620.80204652,AcRSO,1017.09815066346,-66328.1838177508
348,Thorpe Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,1.0933919,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,"bald - scrub oak scrub - mixed woodland complex; polygon boundary accuracy lower than norm due to poor 2004 digital image",CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,801444.51854319,921083.86876869,AcRSO,1253.84291344452,-47628.1514773281
349,Mount Frissell,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.98580655,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,scrub oak scrub with ~5% bald and some sparse deciduous woodland,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,800841.18149527,943627.64684377,AcRSO,948.232727146815,-42941.7336670041
350,Gridley Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.11011676,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,805758.35046669,940641.04881435,AcRSO,321.439615079624,-4796.68627131707
351,Gridley Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.09047208,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,806031.31317536,940473.12198485,AcRSO,233.153048104541,-3940.96384056308
352,Gridley Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.07976126,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,805973.8536446,940398.58670085,AcRSO,282.388002313011,-3474.40079708436
353,Gridley Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.04867325,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,805928.98037476,940328.17017501,AcRSO,183.853483095419,-2120.20689210118
354,Gridley Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.26814399,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,805984.79817652,940150.31587193,AcRSO,572.89164355297,-11680.3524200211
355,Gridley Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.07896397,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,805793.81365035,940230.58834919,AcRSO,220.914744080079,-3439.67086421924
356,Gridley Mountain,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.2384587,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,805938.8379666,939520.62585835,AcRSO,421.174016095565,-10387.2611422193
357,Gridley Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.16182626,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,maybe some scrub oak,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,805015.71907794,938375.24691551,AcRSO,348.951778762593,-7049.15217875559
358,Gridley Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.16617751,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,maybe some scrub oak,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,804651.80084252,938128.93441602,AcRSO,372.561301107993,-7238.69235901917
359,Brace Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.08629218,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,"bald/steep ledges, cut off poolygon at state line because no digital coverage",CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,799583.04982519,939653.50649809,AcRSO,269.082210789399,-3758.88769236165
360,Brace Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.80033717,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,, , ,maybe some scrub oak scrub,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,799825.52571819,937376.47791568,AcRSO,958.858707999412,-34862.687475057
361,Bear Mountain,13,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.70522261,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2008/11/03 00:00:00+00,Not Applicable, ,bald - scrub oak scrub complex,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,809234.24508969,941448.7351911,AcRSO,768.824250742304,-30719.4972668258
362,Bear Mountain,5,Acidic Rocky Summit Outcrop,Scrub Oak,60.07785881,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2008/11/03 00:00:00+00,Not Applicable, ,scrub oak scrub or maybe red oak stunted forest with scrub oak understory,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,808749.00721502,940725.90888086,AcRSO,18995.7927805104,-2616991.52992769
363,Bear Mountain,6,Acidic Rocky Summit Outcrop,Scrub Oak,3.86335073,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2008/11/03 00:00:00+00,Not Applicable, , ,CT1A2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,809685.25435827,939718.45026585,AcRSO,4087.9750762995,-168287.557978727
364,Benton Hill Fen,1,Circumneutral Spring Fen,Shrub Thicket,0.78779454,2009/01/01 00:00:00+00,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/04/20 00:00:00+00,Not Applicable,"Acer rubrum, Fraxinus nigra; Rhamnus cathartica","tall shrub thicket in open woodland; Rhamnus cathartica dominant; Moorhead 1996, 2009",CP3A1A1000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,799256.04030861,873237.0802761,CirSF,1214.34837484403,-34316.3305199967
365,Farmington River,0,Floodplain Forest,Low Floodplain,23.57404017,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/06/06 00:00:00+00, ,"Acer saccharinum, Fraxinus pennsylvanica, Ulmus americana, Quercus palustris, Prunus serotina, Toxicodendorn radicans, Matteuccia struthiopteris;  Celastrus orbiculatus, Lonicera morrowii","in many places transitional to high floodplain forest, with inclusions of alluvial marsh in small sloughs; weedy on riverside levee, especially",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,992610.56731268,888536.97257651,FF,8289.08692765556,-1026885.190193
366,Farmington River,0,Floodplain Forest,High Floodplain,1.65261184,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,943745.60500344,875606.50926427,FF,1414.63277862266,-71987.7718950993
367,Farmington River,0,Floodplain Forest,Undifferentiated,0.23902857,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,943793.71842427,872678.92752102,FF,559.180829593307,-10412.0845892994
368,Farmington River,0,Floodplain Forest,High Floodplain,0.34856656,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , ,based on LIDAR 2000 elevation 2-4 ft above adj river elevation,CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,944131.21742118,870338.91251601,FF,730.607901680185,-15183.5595291657
369,West Branch Farmington River,0,Floodplain Forest,High Floodplain,3.41121074,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, ,"Acer saccharum (mature); Dicentra canadensis (only alluvial site in CT), Hydrophyllum virginianum","?rich mesic mature high floodplain forest, in good condition, w/ rare plants, unique on upper river; probably not flooded since 1955 & flood control; 4-10 ft above LIDAR water el; not flooded in 2007",CT2B1A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,935559.36448618,893101.39717468,FF,1746.81269506348,-148592.33983911
370,Southington Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.08170945,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , , ,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,950799.30349443,784370.51358701,AcRSO,259.390295478519,-3559.26393232351
371,Southington Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.0226021,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , , ,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,950660.29622653,784212.86724877,AcRSO,121.511892572358,-984.547481356436
372,Southington Mountain,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,0.20567839,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , ,bald-grassy/sedgy deciduous woodland complex,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,950725.81840519,784870.97649686,AcRSO,447.66449175436,-8959.35090441832
373,Rock Rimmon,0,Acidic Rocky Summit Outcrop,Scrub Oak,0.33398524,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , ,"?mixed scrubby white(?) pine-deciduous woodland-bald complex; not sure about the scrub oak",CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,913121.23711843,712924.65221393,AcRSO,469.635428614877,-14548.3971141551
374,Ridge West of Barkhamsted Reservoir,0,Acidic Rocky Summit Outcrop,Grassy Glade/Bald,1.3430497,,Aerial Photo Interpretation,CT 2006 Color NAIP Ortho Photo,Not Applicable,CT DEP NHS,2009/04/01 00:00:00+00, , ,can't tell if scrub oak -- Moorhead may have notes from May 1993,CT1A2A0000, ,True,Not Applicable,Not Applicable,Not Applicable,Terrestrial Non-forested,942338.86667519,895071.17210651,AcRSO,958.305343480032,-58503.2452726289
375,Upper Housatonic Valley Floodplain,2,Floodplain Forest,Low Floodplain,35.82656928,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,2009/07/21 00:00:00+00, ,"Acer saccharum-Fraxinus americana/Carex sprengalii; Acer saccharinum/Onoclea sensibilis; Acer saccharinum/Ageratina altissima", ,CT2B1A0000,19,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Forested,832136.35709378,924975.01945093,FF,23254.989164305,-1560605.35807398
376,Green Falls River,0,Poor Fen,Dwarf Shrub,0.16718661,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CP2C2A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Palustrine Non-forested,1259945.90304777,762720.64251677,PF,322.595129037752,-7282.64886813095
377,"Sherwood Island State Park, Alvord Beach",0,Beachshore,Salt,23.4820634,,Aerial Photo Interpretation,CT 2004 Black and White Ortho Photo,Not Applicable,CT DEP NHS,, , , ,CE1C1A0000,0,True,Not Applicable,Not Applicable,Not Applicable,Estuarine,841542.09451586,602838.26018244,B,8112.15737643299,-1022878.68192649
